,0,1,2,3,4,5,6,7,8
184,7.9928,7.7869,8.0115,9.2108,9.0327,9.2886,8.3426,8.129,8.4366
185,7.9661,7.7644,7.9881,9.122,8.95,9.201,8.3015,8.1119,8.3958
186,7.9289,7.7365,7.9559,9.0848,8.9187,9.1648,8.2345,8.0639,8.3322
187,7.8842,7.6795,7.9227,8.9886,8.8118,9.0779,8.1527,7.9737,8.2583
188,7.8195,7.6248,7.8612,8.9194,8.7482,9.016,8.116,7.9434,8.2276
189,7.7944,7.601,7.8323,8.9487,8.7778,9.0413,8.0945,7.9199,8.1999
190,7.7299,7.5454,7.7622,8.9515,8.7934,9.0321,8.0499,7.8876,8.15
191,7.6733,7.5096,7.7118,8.9649,8.836,9.0688,8.0016,7.8612,8.1151
192,7.6749,7.5462,7.7455,8.923,8.8094,9.0508,7.9912,7.8769,8.1303
193,7.5872,7.4732,7.6656,8.8948,8.8131,9.0417,7.8807,7.7731,8.0222
194,7.5743,7.5005,7.6903,8.8763,8.8145,9.0444,7.8022,7.7141,7.9615
195,7.5184,7.4525,7.6377,8.8238,8.7541,8.9928,7.7259,7.6634,7.9123
196,7.4621,7.4245,7.6086,8.7614,8.7292,8.9609,7.6357,7.6095,7.8516
197,7.4226,7.4094,7.5877,8.7558,8.7376,8.9667,7.5834,7.5846,7.8259
198,7.3879,7.3927,7.5596,8.735,8.7296,8.943,7.5588,7.5787,7.8069
199,7.3055,7.3192,7.4786,8.6503,8.6456,8.8528,7.5178,7.5422,7.7596
200,7.2237,7.2487,7.4256,8.5846,8.5884,8.8194,7.4853,7.5149,7.77
201,7.2261,7.2616,7.4655,8.5123,8.5226,8.7661,7.3997,7.4301,7.6837
202,7.2744,7.2887,7.5004,8.4407,8.4429,8.6977,7.3577,7.3777,7.6434
203,7.258,7.3032,7.4643,8.4143,8.428,8.6592,7.3193,7.3407,7.5992
204,7.159,7.1914,7.3686,8.448,8.4485,8.6789,7.2708,7.2892,7.5409
205,7.1558,7.1689,7.3517,8.3921,8.3789,8.6161,7.2715,7.273,7.5225
206,7.1023,7.1016,7.2896,8.3646,8.3321,8.5755,7.3027,7.2708,7.5321
207,7.0914,7.0952,7.2781,8.3095,8.2853,8.5248,7.2492,7.2413,7.4897
208,7.1017,7.1097,7.2731,8.2473,8.2268,8.4547,7.3292,7.327,7.5471
209,7.0257,7.0294,7.2102,8.2225,8.2174,8.439,7.3384,7.3498,7.5897
210,7.1061,7.1534,7.3162,8.2001,8.2182,8.4286,7.2912,7.3258,7.5521
211,7.1595,7.2136,7.3995,8.2087,8.2341,8.4704,7.2801,7.3277,7.5649
212,7.241,7.2891,7.4618,8.2131,8.2315,8.4552,7.3292,7.3732,7.6032
213,7.2739,7.3052,7.4809,8.1972,8.2049,8.4311,7.3463,7.3772,7.6134
214,7.296,7.3522,7.523,8.1363,8.1555,8.3769,7.3253,7.3762,7.6093
215,7.3582,7.4239,7.6534,8.1023,8.126,8.3812,7.2689,7.3186,7.5849
216,7.3857,7.4045,7.7066,8.0879,8.0862,8.394,7.3255,7.337,7.6904
217,7.4005,7.4054,7.684,8.0621,8.0554,8.3376,7.4083,7.406,7.7465
218,7.3156,7.339,7.5819,8.0913,8.0984,8.3581,7.2968,7.3197,7.6117
219,7.2173,7.2482,7.4498,8.0951,8.1143,8.3381,7.2229,7.2562,7.5007
220,7.1605,7.1592,7.3377,8.1604,8.129,8.3532,7.1828,7.1843,7.4167
221,7.1343,7.1223,7.2741,8.2392,8.2095,8.4013,7.122,7.1291,7.3462
222,7.2771,7.197,7.3031,8.5053,8.3949,8.5148,7.2514,7.197,7.3686
223,7.2743,7.1959,7.2704,8.7523,8.637,8.6646,7.3066,7.2389,7.3671
224,7.2021,7.1304,7.2327,8.8157,8.7052,8.7604,7.2598,7.1913,7.3309
